Date,AMAT,AXON,DECK,DXCM,ENPH,EPAM,ETSY,FTNT,GNRC,LRCX,MTCH,ON,PODD,RMD,TSLA
2017-03-06,33.99074935913086,22.530000686645508,54.16999816894531,19.59000015258789,1.3600000143051147,73.31999969482422,10.140000343322754,7.26800012588501,39.54999923706055,106.56169128417969,15.523216247558594,15.260000228881836,43.66999816894531,66.38785552978516,16.747333526611328
2017-03-07,34.092185974121094,22.489999771118164,54.0099983215332,19.647499084472656,1.2799999713897705,72.58000183105469,9.8100004196167,7.285999774932861,39.18000030517578,105.7243881225586,15.78971004486084,15.289999961853027,44.709999084472656,66.11054229736328,16.57266616821289
2017-03-08,34.2950553894043,22.3700008392334,54.5099983215332,19.559999465942383,1.2200000286102295,73.31999969482422,9.5600004196167,7.447999954223633,38.65999984741211,105.99446105957031,15.81826400756836,15.029999732971191,45.33000183105469,65.38029479980469,16.45800018310547
2017-03-09,34.47027587890625,22.489999771118164,53.77000045776367,19.387500762939453,1.1399999856948853,73.58000183105469,9.640000343322754,7.334000110626221,38.380001068115234,105.83243560791016,15.91343879699707,15.199999809265137,44.81999969482422,65.42652130126953,16.32666778564453
2017-03-10,35.15266799926758,22.6299991607666,54.130001068115234,19.584999084472656,1.3300000429153442,73.79000091552734,9.720000267028809,7.392000198364258,38.65999984741211,108.57841491699219,15.970545768737793,15.220000267028809,44.90999984741211,66.03662109375,16.246000289916992
2017-03-13,35.44776153564453,22.809999465942383,54.279998779296875,19.399999618530273,1.2300000190734863,73.62000274658203,10.050000190734863,7.386000156402588,39.16999816894531,110.19898986816406,15.941991806030273,15.3100004196167,45.11000061035156,66.25845336914062,16.411333084106445
2017-03-14,35.290985107421875,22.889999389648438,53.84000015258789,19.36750030517578,1.2799999713897705,73.3499984741211,10.039999961853027,7.331999778747559,37.9900016784668,110.15398406982422,15.73260498046875,15.350000381469727,44.72999954223633,65.62989044189453,17.200000762939453
2017-03-15,35.890380859375,23.010000228881836,54.33000183105469,19.302499771118164,1.3700000047683716,72.93000030517578,10.229999542236328,7.374000072479248,38.7400016784668,111.79254150390625,15.941991806030273,15.220000267028809,44.84000015258789,66.08280944824219,17.048667907714844
2017-03-16,36.01026916503906,22.760000228881836,54.34000015258789,19.344999313354492,1.3700000047683716,73.06999969482422,10.380000114440918,7.458000183105469,38.52000045776367,113.41313171386719,15.751639366149902,15.239999771118164,44.2599983215332,65.88870239257812,17.469999313354492
2017-03-17,36.22235870361328,23.389999389648438,54.61000061035156,19.72249984741211,1.399999976158142,72.5,10.369999885559082,7.426000118255615,38.459999084472656,113.8722915649414,15.561287879943848,15.25,44.56999969482422,66.22146606445312,17.433332443237305
2017-03-20,36.48978042602539,22.940000534057617,54.40999984741211,19.905000686645508,1.340000033378601,72.61000061035156,10.270000457763672,7.395999908447266,38.06999969482422,114.21439361572266,15.45659351348877,15.25,44.22999954223633,65.91642761230469,17.461332321166992
2017-03-21,35.57685852050781,22.459999084472656,53.470001220703125,19.122499465942383,1.25,72.04000091552734,9.989999771118164,7.2220001220703125,36.790000915527344,111.88255310058594,15.304311752319336,14.65999984741211,42.439998626708984,65.37104797363281,16.711999893188477
2017-03-22,35.79817581176758,22.450000762939453,54.15999984741211,19.225000381469727,1.2400000095367432,72.56999969482422,10.039999961853027,7.297999858856201,37.0099983215332,112.89993286132812,15.45659351348877,14.90999984741211,42.220001220703125,65.89794158935547,17.000667572021484
2017-03-23,35.825836181640625,22.6299991607666,55.5,19.020000457763672,1.2400000095367432,72.86000061035156,9.890000343322754,7.276000022888184,37.31999969482422,112.85491943359375,15.209136009216309,14.960000038146973,42.04999923706055,65.91642761230469,16.985332489013672
2017-03-24,35.93650436401367,22.5,56.279998779296875,20.655000686645508,1.2400000095367432,73.2699966430664,9.880000114440918,7.260000228881836,37.310001373291016,114.76361083984375,15.113960266113281,15.180000305175781,42.880001068115234,66.1567611694336,17.54400062561035
2017-03-27,35.83506774902344,22.469999313354492,56.5099983215332,20.850000381469727,1.2400000095367432,73.77999877929688,10.149999618530273,7.26800012588501,37.4900016784668,115.06071472167969,15.304311752319336,15.010000228881836,42.349998474121094,66.25845336914062,18.014667510986328
2017-03-28,35.79817581176758,22.790000915527344,58.630001068115234,21.002500534057617,1.25,74.5999984741211,10.109999656677246,7.311999797821045,37.5099983215332,115.01568603515625,14.942643165588379,15.289999961853027,42.43000030517578,66.51726531982422,18.496667861938477
